Season,Episode,Title,Summary
2,5,,"Alfie hosts a Passover Seder and invites an unaware Arthur and some of his men, who are soon equally slaughtered, and has Arthur sent to prison. Campbell has Michael arrested as well. Sabini and the now gruesomely scarred Mario take back control of the Eden Club. Tommy finds his fledgeling empire crumbling before him, as his power-base in London is obliterated. Tommy struggles to save his family and regain the upper hand, as the tentative Black Country/Brum alliance is in tatters after Billy Kitchen’s untimely death. Tommy further complicates his love life, by escorting the returning Grace to a passionate date, though still stringing May along, who had earlier expressed her feelings for him. Having slept with Tommy, Grace admits being in London with her husband to procure fertility treatment. Campbell forces Polly to have sex with him in exchange for Michael's freedom. Tommy attempts to end his romantic relationship with May, though he still wants her to continue training his horse."
2,6,,"Tommy decides to settle all his affairs in case he meets an untimely death. He also meets with Alfie regarding business contracts. Alfie gets Arthur out of prison. Derby Day has arrived. Polly tries to pay off Michael to get him to leave. Tommy collects the Peaky Blinders and gives them their mission at the races. Without firing a shot, they are to collect and burn the licences of Sabini's bookies and steal the bets. Tommy runs into Grace, who informs him that she's pregnant with his child. Lizzie lures Field Marshal Russell to the horse stables for Tommy to kill him for Campbell, but Tommy gets there late, and Lizzie is brutally assaulted by Russell before Tommy can kill him. Campbell's men from Northern Ireland, three members of the Ulster Volunteers, kidnap Tommy and take him to an empty field while Polly meets with Campbell and shoots him dead. Instead of Tommy being executed, one of the Ulster Volunteers kills the other two, and tells Tommy that Winston Churchill will be contacting him in the future. Michael decides he wants in on the family business. Tommy tells Michael that he plans on getting married in the future."
3,1,,"Two years later, in 1924, Tommy and Grace get married. The Peaky Blinders and their kin have been invited, as well as Grace's family. Composed of cavalrymen, Irish members of the British Army, Grace's family dismays the Peaky Blinders, due to the cavalry's late arrival on the battlefield during the war. The Peaky Blinders have a meeting in the kitchen, where Tommy, in a state of stress, orders the men to be on their best behaviour. Meanwhile, a refugee from Soviet Russia, named Anton Kaledin, makes contact with the Peaky Blinders, offering the code ""Constantine"" as confirmation for the money-exchange meeting with the young Grand Duchess Tatiana Petrovna. Tommy informs her that Kaledin provided the wrong code name, meaning the man must be killed. Arthur confides in Tommy, not wanting to do the job they must carry out, but Tommy tells him they have no choice, or else Tommy will hang. In the end, Arthur kills the impostor."
3,2,,"Tommy inspects armoured vehicles for a business deal with Father John Hughes. He meets with Mr. Romanov, who pays him with a sapphire for murdering Kaledin. Vicente Changretta meets with Arthur and John to demand an explanation for his son Angel's restaurant burning down. John threatens Vicente and later beats Angel when Vicente publicly vows to murder him. During a gang meeting, Tommy sides with John. Later, he is taken by Scotland Yard to a prison cell, where he is greeted by Father Hughes. Father Hughes threatens to kill his son Charles if Tommy visits Ada again due to her communist connections and remarks that he has easy access to Tommy's family. Tommy later finds a card under Charles’s pillow, which reads ""Charles Shelby - R.I.P."" Grace wears Romanov's sapphire to the Shelby Charity Foundation dinner. Father Hughes and Patrick Jarvis inform Tommy that the Russians want to inspect the vehicles. Suddenly, a guest shouts ""For Angel!"" and shoots Grace in the upper chest. Arthur, John and their younger brother Finn Shelby beat the man to death as Tommy shouts for an ambulance."
3,3,,"Following Grace's funeral, Tommy meets with Polly and Michael to give them a list of things to do for their ""legitimate"" business. Afterwards, he orders Arthur and John to retrieve Vicente alive and shoot Vicente’s wife, but they are reluctant to murder her. During a meeting, the Peaky Blinders realise that Tommy has left, leaving a note that he will be gone a few days. Tommy travels to Wales with the sapphire necklace, where he confers with a gypsy, whom he asks whether it is cursed. He returns home with some sense of normality having left the necklace with the woman. Arthur and John have procured Vincente, who Tommy threatens to torture, but Arthur shoots him in the head as an act of mercy. Following her help in finding the Soviet informant in the Economic League, Tommy invites Ada to head the Shelby future office in the United States. He then interrupts a meal hosted by Tatiana’s aunt, the Grand Duchess Izabella Petrovna, to secretly alert her to the information he has acquired. Tatiana sees Tommy to his car; he tells her that Father Hughes is betraying them to the Soviets and offers to kill him for free."
3,4,,"On Easter 1924, Tommy receives news that Arthur Sr. has died and Tommy announces the plan to the Peaky Blinders: they have been hired to provide the Russians with weapons stolen from a train for a rebellion. They will be paid in jewels but, believing the Russians will betray him, Tommy plans to break into their vault. Arthur’s wife Linda Shelby tells Arthur she is pregnant and wants him out of the business, which he agrees to do after the job with the Russians is over. His vagueness irritates Linda, who demands a bigger cut for Arthur so they can move to the United States together. Polly goes to church while drunk, and during confession, she reveals Tommy's plan to assassinate Father Hughes to the priest, who in turn notifies Father Hughes. Father Hughes foils Tommy's attempt on his life and watches him being seriously injured by his guards. He humiliates Tommy by threatening to kidnap Charles and makes Tommy apologise for wrongfully accusing him in front of Tatiana and her family at the Ritz. Tommy meets with a representative from the Soviet embassy and tells him that Father Hughes is double-crossing the Soviets. He then collapses from his injuries."
3,5,,"Three months later, Tommy has recovered and the planned massive heist involving the Russians is drawing near. Tommy enlists Alfie to appraise the Russian's jewels, ruining their plan to give Tommy fakes. The Peaky Blinders begin to tunnel underneath their mansion. Tommy makes a deal with the Soviets to ensure the guns on the train will be useless, negating the need to blow up the train and sabotaging the plan to plant evidence at the scene of the explosion incriminating the USSR, thus causing an international incident which would lead to the United Kingdom cutting off diplomatic relations with Russia. Ada officially joins the family business when she is offered a place in their new Boston office. Polly finally views her portrait, after which her lover Ruben Oliver and she take their relationship to the next level. After previously revealing that he was abused by Father Hughes, Michael reveals that he, too, wishes to kill the priest, but Polly tells Tommy that she will bring the business to its knees should Michael be the murderer."
3,6,,"Charles is kidnapped. Father Hughes demands the jewels as payment and for Tommy himself to blow up the train in exchange for Charles’s safe return. Tommy agrees unconditionally. After some investigation, he discovers that Alfie divulged the plans to Father Hughes. During a confrontation, Michael kills Alfie's associate but talks Tommy out of killing Alfie. After deducing Charles’s whereabouts, Tommy sends Michael to retrieve Charles and kill Father Hughes. At the same time, Arthur and John set off to bomb the train in case Michael cannot rescue Charles in time. Even though Michael is successful, word does not reach the Peaky Blinders in time and the train is blown up. Meanwhile, Tommy frantically completes the tunnel and blasts into the Russian's vault, stealing many jewels. With Charles safe, he meets with Tatiana, who has been in on the jewel heist the whole time and plans on taking her share to Vienna. Tommy returns home to distribute the remaining loot to his accomplices, but at the end of the meeting announces that the police have come to arrest everyone. The rest of the Peaky Blinders are taken away in handcuffs."
4,1,The Noose,"As Arthur, John, Michael and Polly prepare to hang for their crimes, Tommy's reprieve comes just in time to save their lives. A year later, the Peaky Blinders are scattered and estranged from one another. Ada returns from Boston for Christmas and visits each of them: John and Esme continue their relationship of sex and arguments, Arthur remains stifled by his new wife Linda's watchful eye, Michael uses cocaine to stay on top of the business, and Polly has fallen into an alcohol-fuelled mania. Each of the Peaky Blinders receives a letter from Vincente’s son Luca Changretta, a black hand in New York City's Sicilian Mafia, marking them for death in retribution for the murders of Vincente. Tommy and Ada attempt to convince the others to regroup on Boxing Day. However, when Tommy discovers and kills a mafia agent among his staff, he realises the assassination attempts are due to take place on Christmas Day and sends word to the rest of the gang. Michael goes to collect John and Esme, whom Tommy could not contact. A cart pulls up, and John and Michael are riddled by a hail of bullets."
4,2,Heathens,"Michael survives his injuries but John is killed. Tommy and the rest of the Peaky Blinders agree to put their differences aside while they deal with the mafia threat. Tommy suggests contacting Aberama Gold, a killer-for-hire, something Polly is strongly against. Tommy disobeys and uses John's funeral to draw Aberama out so that they can make a tentative deal. Enraged, Polly asks Michael to flee with her to Australia, but he refuses until she helps the Peaky Blinders through their current predicament. Linda discovers that Ada is under investigation by the government because of her marriage to a communist but does not pass the message on. Aberama agrees to fight for the Peaky Blinders if they accept his son, Bonnie Gold. After seeing him knock out a man much larger than he, Tommy and Arthur induct him into the Peaky Blinders. Jessie Eden rallies Tommy's workforce and convinces the factory to strike. Changretta manages to get into visits Tommy's office at the factory and threatens all the members of the Shelby family. They agree not to involve the police or harm children or civilians in their vendetta."
4,3,Blackbird,"The Italians launch another attack on the Peaky Blinders. Tommy realises that the Peaky Blinders need to evolve if they are to survive, but some of the gang are reluctant to part with tradition. As the strike takes hold at the Lanchester factory, Arthur is almost killed by Changretta’s men. Tommy pays a personal visit to Jessie to find out how this ambush took place, but he is outmanoeuvred when she reveals something she knows about his past. Later, it is revealed that Polly and Changretta have a previous connection from the past, and they meet in a public place to discuss business. Polly claims that she will give Tommy to Changretta if he will spare the other members of the Shelby family."
4,4,Dangerous,"Arthur goes to the house of the family whose son he killed in a boxing match, expecting it to be an ambush by the Italian Mafia. Instead, it is a decoy, and their real target is Michael, still convalescing in the hospital. Changretta spares Michael, but repeats that he is expecting that Polly keeps her end of their agreement. Later, Changretta is almost murdered by Aberama at an ambush. Tommy sets up a fight for Bonnie. After visiting Michael in the hospital, Tommy drives away, only to be followed by Changretta and his gang."
4,5,The Duel,"Tommy leads Changretta’s gang to Artillery Square. Tommy has prepared for the battle ahead of time thanks to Polly's heads-up. He kills three of Changretta’s gang members before coming face to face with Changretta. However, the police arrive and break up the fight. Lizzie tells Tommy that she is pregnant with his child. After hiding Michael away from Changretta’s gang, Polly shares an intimate moment with Aberama. Meanwhile, an army colonel has questions for Ada about her past as a communist. Tommy and Jessie have an intimate dinner, as Tommy looks to find out Jessie's communist contacts. Sensing an opportunity to capitalise on his situation, Changretta makes his way to London to present a plan to Alfie on how to kill the Shelby family at the upcoming boxing match."
4,6,The Company,"Tommy watches the boxing match with Arthur, who grows suspicious of Bonnie's opponent's seconds. When one of the seconds leaves the arena, Arthur follows him and seems to be mortally wounded in the fight that ensues. The widow Changretta meets with Tommy and states that the vendetta will be over if he signs over all of his assets to Changretta. Changretta and his men meet with the remaining Peaky Blinders in Tommy's basement distillery. Tommy reveals to Changretta that he has sent Michael to the United States to negotiate with other American mafiosi and turn Changretta’s men against him. Arthur enters the distillery and shoots Changretta, having faked his death to lure Changretta into the trap. The Peaky Blinders celebrate the end of the vendetta at Tommy's countryside estate. Tommy confronts Alfie for his betrayal; Alfie reveals that he has skin cancer and knew Tommy would kill him. Tommy contacts Jessie to say that he wants to help her and thereby acquires the name of her communist party contacts. He takes the information to the Crown to secure an endorsement for his campaign for Member of Parliament, an election which Tommy wins."
5,1,Black Tuesday,"Polly is dead. Arthur receives an intimidating letter from the ""Angels of Retribution"". Tommy sends Aberama and Isiah to send a message to them. Finn, eager to prove himself, joins them and during a gunfight is shot in the arm. Meanwhile, Michael — who runs the Peaky Blinders' operations in the United States — is notified that the stock market has crashed and leaves for Birmingham with his girlfriend Gina. Tommy gets the news from Arthur about the crash and becomes furious after learning that Michael held on despite instructions to sell. The Peaky Blinders have a family meeting at the Garrison, where Tommy reveals that Aberama and Isiah were sent to kill a pimp who was blackmailing a senior member of the House of Lords. During the meeting, Polly tells Tommy and Arthur that Ada is pregnant. At the House of Commons, Tommy meets Oswald Mosley. Michael Levitt, a journalist, conducts an interview with Tommy and asks him questions about his past with a view to damaging his image as MP, but Tommy outmanoeuvres him by threatening to expose Mr. Levitt’s homosexuality. Mr. Levitt is later killed by two men."
5,2,Black Cats,"Tommy discovers landmines and a scarecrow dressed as him on his farmland. He receives a call from IRA agent Captain Swing, who informs him that she has captured Michael from the men who supposedly want to kill Tommy and asks whether to spare him or kill him; as per Tommy's request, Michael walks free. Polly and Arthur go to the station to receive Michael; he introduces Gina as his new wife. Polly tells Michael that he cannot come home until he tells the truth about what happened at the dock. Tommy and Ada meet with Mosley, where Tommy tells Mosley that Ada advised against meeting him, for Mosley seems to be moving in the direction of fascism. At the Garrison pub, Tommy tells Polly about his black cat dream, implying that there is a traitor close by. Michael tells his side of the story and is tentatively cleared. Meanwhile, in a forest, a Scottish gang called the Billy Boys shoot Aberama in the shoulder and kill Bonnie. Aberama appears at Tommy's house with Johnny Dogs, whom he supposes to be the traitor, as he and the Lees were the only ones that knew about their position. Enraged, Lizzie comes out with a gun and Tommy calms her down."
5,3,Strategy,"Aberama is taken to a gypsy camp by Polly and told to lay low, but he instead departs to Scotland to wage war against the Billy Boys. Arthur, falling deeper into alcohol and cocaine abuse, agrees to go to Scotland in exchange for the whereabouts of one of Linda's friends, whom he blinds and disfigures when he fails to get Linda's whereabouts. Linda herself wishes to divorce from Arthur, but Lizzie discourages her. Michael continues to be given degrading orders as punishment for losing Tommy's fortune, nearly reaching a breaking point. Mosley, in a meeting with Tommy, Arthur and Michael, utilizes his leverage of withholding investigations of the murder of Mr. Levitt to coerce Tommy into joining the soon-to-be-created British Union of Fascists. Tommy reluctantly agrees in order to infiltrate their organization. In Scotland, Aberama and his men attack a group of Billy Boys, which ends with Aberama swearing revenge on gang leader Jimmy McCavern for Bonnie’s death. The following morning, McCavern and the Billy Boys raid Aberama's camp, only to discover it has been booby-trapped with grenades, killing several of McCavern's men.[4]"
5,4,The Loop,"Tommy and Arthur meet with Brilliant Chang, a Chinese Triad businessman, to discuss a highly lucrative opium shipment. Tommy meets with McCavern to form a truce, especially given their mutual connection to Mosley, and uses this to test the opium shipment. To keep the truce, Tommy forces Aberama to postpone his quest for vengeance, offering a marriage to Polly in return. Mosley, in a meeting with Tommy, confides that he knows of Lizzie's past as a prostitute, and in response Tommy tells Mosley that he is aware of the latter's affairs with his sister-in-law and his wife's stepmother. Tommy, despite attempting to both hold his House of Commons standing and his agreement with Mosley, continues hallucinating about Grace, to the point of almost committing suicide. He confesses to Ada, who suggests he withdraw from opium himself. At a private exhibition of Swan Lake in Tommy's estate, Aberama proposes to Polly, who accepts; Michael tells Gina that he will be taking on the Peaky Blinders' opium business; and Arthur is confronted by Linda, who attempts to shoot him in retaliation for Arthur disfiguring her friend, but is shot by Polly."
5,5,The Shock,"Tommy, Polly and Arthur tend to Linda's gunshot wound, and as she recovers, she abandons Arthur. Mosley uses the stage at the end of the Swan Lake to make an impassioned speech concerning the advent of the fascist movement in the United Kingdom, which all the Shelby family witness. Tommy attempts to deliver information and evidence to a hesitant Colonel Ben Younger, who informs him both the government, the Ministry of Defense and Section D are all in support of Mosley, as they believe him to be a bulwark against a possible communist insurgency. As he leaves with the evidence, Ben is killed by a bomb in his car which also kills a child playing football in the street. Tommy informs Ada of Ben's death, who in turn reveals Ben was unaware of Ada's pregnancy with his child. Arthur, uncle Charlie Strong, Curly, Aberama and Isiah head to meet Chang and load the opium within their boat, but are ambushed on arrival by unknown assailants who became aware of Chang's deal with Tommy. Tommy visits Barney Thomason, an old comrade from the Great War locked in an insane asylum. He helps Barney escape in exchange for assassinating Mosley."
5,6,Mr Jones,"Tommy is called at the House of Commons by Churchill, who inquires about Tommy's affiliation with the fascist party; Tommy informs him it is an infiltration. At a meeting, Michael and Gina attempt to propose a total restructuring of the Peaky Blinders company, which Tommy rebukes. Polly later resigns from the company. Tommy and Arthur execute Micky, the Garrison bartender, after it is discovered he was the one who informed on both Ben’s meeting with Tommy prior to his death, as well as Arthur's ambush at London. Tommy then travels to Margate to ask for help from Alfie, to stage a mutiny at Mosley's rally as a cover for the assassination. Finn accidentally spills the assassination plan to Billy Grade, who runs the fixed football racket. At the rally, Tommy saves Jessie from being arrested as the communists attempt a protest. Just as Barney and Aberama prepare to kill Mosley and McCavern respectively, they are killed by unknown persons. Mosley's rally is a success as Tommy breaks down in the aftermath. The following day, his torment over the previous night's events and Grace's apparition drive Tommy over the edge, causing him to attempt suicide."
6,1,Black Day,"Following his prevented suicide by Lizzie and Arthur, Tommy receives a call from Captain Swing who takes credit for foiling Mosley’s attempted assassination. She returns the bodies of Polly, Aberama and Barney, who were killed during the plot. The entire Shelby family gather for Polly’s funeral with Michael swearing revenge on Tommy for his role in her death. In 1933, Tommy, now sober, sets up a meeting with an estranged Michael and business associates of Jack Nelson, a south Boston gang leader and Gina’s uncle on Miquelon Island. Following unsuccessful talks to re-enter into business, Tommy lands Michael in prison for possession of opium. Meanwhile, back in Small Heath, Arthur's drug addiction continues to spiral following Polly’s death. Later, Tommy is phoned by Lizzie who announces she, Charles and their daughter Ruby cannot travel to Canada due to Ruby’s sudden illness. Believing her sickness is a message and gypsy related, Tommy decides to return to England."
6,2,Black Shirt,"Tommy, still a Labour MP, returns to England and is informed Ruby is recovering. He has a seizure in the bathroom and Lizzie urges him to see a doctor, but he refuses. After Jack Nelson expresses interest to meet the fascists, Tommy sees an opportunity in an alliance with Captain Swing. He visits Alfie and announces the death of his uncle in the Cotton Club in New York at the hands of Jack Nelson's gang. After a tense meeting with Mosley and his mistress Diana Mitford, Tommy meets Jack Nelson and agrees to feed information about England's politics to Nelson's gang in exchange for Tommy being able to sell his opium in Boston. Tommy is informed that Ruby is sick again and decides to contact Esme."
6,3,Gold,"As Ruby falls sick with consumption and is treated with gold, Tommy goes in search of the source of the curse that he believes has been laid upon his family and eventually reunites with Esme. Ada takes over Tommy's role in Birmingham and meets with Mosley, Diana, Jack Nelson and Gina. Meanwhile, Arthur heads to Liverpool to confront Hayden Stagg but ends up being belittled as Stagg further confronts Arthur about the state of his own mental health. Tommy discovers that the person to whom he gave the cursed sapphire that once belonged to Grace, who died after Tommy gifted it to her, had a daughter that died at the age of seven, leading Tommy to believe that it was this woman who cursed Ruby in revenge. Tommy returns to Birmingham and goes straight to the hospital where Ruby is. Lizzie meets him at the entrance to tell him that the gold salts treatment failed, and that Ruby has died."
6,4,Sapphire,"While the Shelby family mourns, Tommy exacts revenge as he murders the family of the woman who cursed Ruby. Distraught in grief, Tommy ignores letters from his personal doctor as his relationship with Lizzie strains even further. Ada is targeted by Nazis and Arthur's addiction continues to spiral. The meeting between Tommy, Mosley, Diana, Jack Nelson and Captain Swing takes place: Jack Nelson agrees to let Tommy trade opium in Boston as he gains information from Mosley about the political future of England and agrees with Captain Swing that the Irish working class can be turned. Tommy finally meets with his doctor and is told that due to coming into contact with Ruby while she was ill, he has developed inoperable tuberculoma and that he has fewer than 18 months left to live. The episode ends with Tommy talking to Polly asking her to give him the time he needs to do what he must do."
6,5,The Road to Hell,"Tommy deals with the Chinese business that got Arthur hooked on opium by walking into their shop, taking their remaining drugs and throwing them into the canal with a bomb. He introduces his newly found son, Duke Shelby, at a family meeting, to Lizzie's disliking. Linda returns, wanting to help Arthur redeem himself once and for all, while Arthur forces Grade to kill a rogue referee who will not take their bribes. Grade is threatened by Jack Nelson and becomes his informant so that eventually, he can give up Arthur to him. Tommy sleeps with Diana as a payment for her cause. Eventually she tells Lizzie that Tommy was unfaithful to her, with Mosley believing that Tommy deserves better if he is to move up in the world. Michael meets with a priest in prison and is told that he may leave if he answers a question, Michael says that he has consulted Polly from beyond the grave and says that he is going to kill Tommy."
6,6,Lock and Key,"Lizzie finally leaves Tommy for his affair with Diana, taking Charles with her. Tommy sets the rest of the Peaky Blinders to dismantle his house, and gives false information to Billy Grade to lure the IRA into a trap; Duke eventually kills Grade when Finn refuses to do so and expels Finn from the family. Captain Swing and other IRA assassins go to the Garrison pub to kill Arthur, but are killed in a shootout in Garrison Lane, avenging Polly's death. On Miquelon Island, Tommy meets Michael, who has been released from prison. Johnny Dogs switches a car-bomb intended for Tommy, which kills Michael's associates. Tommy then shoots Michael dead, fulfilling Polly's prediction. A month after saying goodbye to the Shelby family, a solitary Tommy prepares to shoot himself. But when the spirit of Ruby visits him and shows his doctor pictured with Mosley and Diana on their wedding day, Tommy realises that he was given a false diagnosis. Tommy goes off to kill his doctor, but relents upon realising he is finally at peace. After returning and watching his wagon and remaining possessions burn, Tommy rides away."
